time,x,y,vx,vy,omega,linear_velocity,goal_status,attempt_id,goal_x,goal_y,goal_reached_count,collision_count,min_scan_range,plan_update_count,last_plan_update_time
88.091,0.008371796488593932,-0.0062179747104434665,-8.4534747392949e-05,8.54442191897272e-06,-0.002052639378225294,8.496546747190366e-05,IDLE,0,nan,nan,0,0,inf,0,nan
88.127,0.008372107133318242,-0.006215053155834634,-8.43013475028289e-05,8.620530675036094e-06,-0.002046493296502601,8.474096258546958e-05,IDLE,0,nan,nan,0,0,inf,0,nan
88.159,0.00837241099495771,-0.006212225831472789,-8.404434711681084e-05,8.696467924005996e-06,-0.0020408083868937287,8.44930815904134e-05,IDLE,0,nan,nan,0,0,0.695022702217102,0,nan
88.192,0.008372717209075757,-0.006209406395267707,-8.381850962435288e-05,8.769695474300075e-06,-0.002034854147190895,8.427603523161075e-05,IDLE,0,nan,nan,0,0,0.695022702217102,0,nan
88.227,0.00837303510094429,-0.006206509915663418,-8.355841791646783e-05,8.847490823658394e-06,-0.0020289780372914606,8.402551575907054e-05,IDLE,0,nan,nan,0,0,0.695022702217102,0,nan
88.259,0.008373346008802612,-0.006203706698205017,-8.332940200778203e-05,8.919655177084552e-06,-0.0020231035277498846,8.380542636042513e-05,IDLE,0,nan,nan,0,0,0.695022702217102,0,nan
88.293,0.00837365898002635,-0.00620091155217723,-8.307580955745827e-05,8.98422223363835e-06,-0.002017457277806535,8.356019616282908e-05,IDLE,0,nan,nan,0,0,0.695022702217102,0,nan
88.326,0.008373983534945416,-0.006198040056407985,-8.283790170694371e-05,9.050918969747214e-06,-0.002011483282886121,8.333088919126087e-05,IDLE,0,nan,nan,0,0,0.695022702217102,0,nan
88.359,0.008374300575517104,-0.006195261105775537,-8.25912287732433e-05,9.117222637361049e-06,-0.0020058364618780367,8.309292881402978e-05,IDLE,0,nan,nan,0,0,0.6994414925575256,0,nan
88.392,0.008374619659791485,-0.006192490045702638,-8.236030299588835e-05,9.18317793493011e-06,-0.002000082275808489,8.28706839995853e-05,IDLE,0,nan,nan,0,0,0.6994414925575256,0,nan
88.425,0.008374950549054651,-0.006189643264462235,-8.211103447080762e-05,9.2521766034623e-06,-0.001994269371799753,8.263065262823363e-05,IDLE,0,nan,nan,0,0,0.6994414925575256,0,nan
88.459,0.008375273787983592,-0.006186888142899787,-8.188054645954368e-05,9.318290397224789e-06,-0.0019885542683056464,8.240906761055183e-05,IDLE,0,nan,nan,0,0,0.6994414925575256,0,nan
88.493,0.008375599064315963,-0.006184140842458435,-8.164208467470136e-05,9.385004443244793e-06,-0.0019829259094440877,8.217973167655656e-05,IDLE,0,nan,nan,0,0,0.6994414925575256,0,nan
88.526,0.008375936341599813,-0.006181318403756011,-8.140445358132545e-05,9.45327639694868e-06,-0.0019770711387233158,8.195150698743298e-05,IDLE,0,nan,nan,0,0,0.6994414925575256,0,nan
88.559,0.008376265763597715,-0.006178586937384208,-8.116572953003487e-05,9.519448551164974e-06,-0.001971355787634832,8.172206281574793e-05,IDLE,0,nan,nan,0,0,0.6996902823448181,0,nan
88.591,0.008376597221234603,-0.006175863210482452,-8.09270790937713e-05,9.585566800261776e-06,-0.001965631733519782,8.14927924514297e-05,IDLE,0,nan,nan,0,0,0.6996902823448181,0,nan
88.63,0.008376940836989255,-0.006173065103858854,-8.068625429249859e-05,9.65393927975945e-06,-0.001959798841984329,8.126173869276382e-05,IDLE,0,nan,nan,0,0,0.6996902823448181,0,nan
88.659,0.008377276396249203,-0.0061703571640979215,-8.045041473906304e-05,9.719494510237268e-06,-0.001954133311489692,8.10354108104709e-05,IDLE,0,nan,nan,0,0,0.6996902823448181,0,nan
88.692,0.00837761424539189,-0.006167656934811405,-8.021520340884062e-05,9.799610268017842e-06,-0.0019484388799844788,8.081157849792762e-05,IDLE,0,nan,nan,0,0,0.6996902823448181,0,nan
88.726,0.00837796444626574,-0.0061648828830207685,-7.997624136825166e-05,9.860313139993065e-06,-0.001942652650663728,8.058179049023153e-05,IDLE,0,nan,nan,0,0,0.6996902823448181,0,nan
88.759,0.008378306345057691,-0.006162198278309208,-7.974236308258899e-05,9.925257085492815e-06,-0.0019370262706429914,8.035767043791512e-05,IDLE,0,nan,nan,0,0,0.7003901600837708,0,nan
88.792,0.008378650243047923,-0.006159521231779561,-7.95092388371411e-05,9.990668992805296e-06,-0.0019314001264749835,8.013446529044384e-05,IDLE,0,nan,nan,0,0,0.7003901600837708,0,nan
88.829,0.008379006636010586,-0.006156771106629603,-7.927195851334527e-05,1.0057800718134543e-05,-0.0019256479340605565,7.99074637429273e-05,IDLE,0,nan,nan,0,0,0.7003901600837708,0,nan
88.858,0.008379354568269309,-0.0061541095428215035,-7.904008245831496e-05,1.012253273810284e-05,-0.001920055983081733,7.968563423887139e-05,IDLE,0,nan,nan,0,0,0.7003901600837708,0,nan
88.892,0.008379704389043884,-0.006151455619601241,-7.880598328084389e-05,1.0180180222395388e-05,-0.0019145206542077289,7.946080209902929e-05,IDLE,0,nan,nan,0,0,0.7003901600837708,0,nan
88.926,0.008380066559849474,-0.006148729303297122,-7.856696892856272e-05,1.0237662031337161e-05,-0.001908848720637336,7.923117019512979e-05,IDLE,0,nan,nan,0,0,0.7003901600837708,0,nan
88.959,0.008380419789951694,-0.006146090874996821,-7.833573297067268e-05,1.0293770906394305e-05,-0.0019033417614420047,7.900916895858268e-05,IDLE,0,nan,nan,0,0,0.7024323344230652,0,nan
88.993,0.008380774712909968,-0.0061434599623196,-7.810908171544968e-05,1.035045629926574e-05,-0.0018978041812963197,7.879188151093872e-05,IDLE,0,nan,nan,0,0,0.7024323344230652,0,nan
89.027,0.008381142157781343,-0.006140757178936544,-7.787111061694003e-05,1.0409271887564029e-05,-0.001892166275150429,7.856374997379479e-05,IDLE,0,nan,nan,0,0,0.7024323344230652,0,nan
89.059,0.008381500517476164,-0.006138141491181141,-7.764654475215263e-05,1.046603351241177e-05,-0.0018866707120441788,7.834873176657659e-05,IDLE,0,nan,nan,0,0,0.7024323344230652,0,nan
89.092,0.00838186056474045,-0.006135533239257715,-7.741809338127374e-05,1.0522904353535247e-05,-0.0018812166620860362,7.812997311419781e-05,IDLE,0,nan,nan,0,0,0.7024323344230652,0,nan
89.126,0.008382233285146139,-0.006132853712651926,-7.718764214834683e-05,1.05809014259582e-05,-0.001875587411495127,7.79094832187141e-05,IDLE,0,nan,nan,0,0,0.7024323344230652,0,nan
89.159,0.008382596744125129,-0.006130260483244835,-7.696200569446551e-05,1.0637575332751975e-05,-0.001870157158500146,7.769368268704294e-05,IDLE,0,nan,nan,0,0,0.6965901255607605,0,nan
89.192,0.00838296188491805,-0.006127674620068005,-7.67394107813582e-05,1.0693991500720278e-05,-0.0018647234773689983,7.748095650730902e-05,IDLE,0,nan,nan,0,0,0.6965901255607605,0,nan
89.226,0.008383339839923964,-0.006125018050258721,-7.650913296456173e-05,1.0752029614496983e-05,-0.001859150891345937,7.726094464747377e-05,IDLE,0,nan,nan,0,0,0.6965901255607605,0,nan
89.258,0.008383708375061687,-0.0061224470400476,-7.628778852579724e-05,1.080839615254646e-05,-0.001853748549999166,7.704964701766739e-05,IDLE,0,nan,nan,0,0,0.6965901255607605,0,nan
89.292,0.008384078579685485,-0.006119883303228042,-7.606587081703924e-05,1.0864445190216285e-05,-0.0018483657897745331,7.683783490212173e-05,IDLE,0,nan,nan,0,0,0.6965901255607605,0,nan
89.326,0.008384461736195054,-0.006117249470237661,-7.58391745382822e-05,1.0921904096261399e-05,-0.0018428277731088896,7.662159215088109e-05,IDLE,0,nan,nan,0,0,0.6965901255607605,0,nan
89.36,0.00838483529941066,-0.0061147004741972915,-7.561685145246529e-05,1.0977300390498649e-05,-0.0018374816876669652,7.640948466942729e-05,IDLE,0,nan,nan,0,0,0.700596809387207,0,nan
89.392,0.008385210521777257,-0.006112158655332832,-7.540276447099015e-05,1.1032726575223037e-05,-0.0018321380922861244,7.620562935604724e-05,IDLE,0,nan,nan,0,0,0.700596809387207,0,nan
89.427,0.008385598831897201,-0.00610954731331267,-7.51757025428781e-05,1.1089434749351228e-05,-0.0018266771978415995,7.598922170857791e-05,IDLE,0,nan,nan,0,0,0.700596809387207,0,nan
89.459,0.008385977388448578,-0.006107020061778325,-7.4961375168357e-05,1.1144253646370355e-05,-0.0018213627160478404,7.578523706148717e-05,IDLE,0,nan,nan,0,0,0.700596809387207,0,nan
89.492,0.0083863575703229,-0.0061044999434699656,-7.474410572096443e-05,1.1198910077503872e-05,-0.0018160876585431778,7.557841574782264e-05,IDLE,0,nan,nan,0,0,0.700596809387207,0,nan
89.522,0.008386750973189333,-0.006101910925322845,-7.45231666982117e-05,1.1254746553648712e-05,-0.0018106453718494992,7.536824062372902e-05,IDLE,0,nan,nan,0,0,0.700596809387207,0,nan
89.559,0.0083871344337339,-0.006099405242673458,-7.430784165302927e-05,1.1308846292334016e-05,-0.0018053902136197287,7.516345744838584e-05,IDLE,0,nan,nan,0,0,0.695396900177002,0,nan
89.592,0.008387519494896519,-0.006096906524597756,-7.412064309866926e-05,1.1327769624753693e-05,-0.0018003370718574917,7.498125164353954e-05,IDLE,0,nan,nan,0,0,0.695396900177002,0,nan
89.626,0.008387916776211993,-0.0060943369888298285,-7.39598325955741e-05,1.1287890815901076e-05,-0.0017953713755626127,7.481626371743679e-05,IDLE,0,nan,nan,0,0,0.695396900177002,0,nan
